,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
9839,tt1949106,21 Brothers,21 Brothers,2011,96.0,"Drama,History,War",4.9,95.0,"[10752, 18, 36]",147485,en,21 Brothers,0.6,2011-09-04,5.0,1, , , 
9840,tt1949538,Find Me,Find Me,2012,83.0,Drama,5.8,49.0,[27],290235,en,Find Me,0.8540000000000001,2014-09-01,4.6,19, , , 
9844,tt1949568,Living by the Gun,Livin' by the Gun,2011,104.0,"Action,Western",4.2,94.0,"[28, 37]",252660,en,Living by the Gun,0.84,2014-01-07,5.0,1, , , 
9845,tt1949583,Bad Behavior,Bad Behavior,2013,83.0,Thriller,4.7,391.0,[53],280459,en,Bad Behavior,1.4,2013-10-22,5.7,3, , , 
9847,tt1949591,Smoke and Mirrors: The Story of Tom Savini,Smoke and Mirrors: The Story of Tom Savini,2015,91.0,Documentary,7.1,16.0,[99],298043,en,Smoke and Mirrors: The Story of Tom Savini,0.912,2015-10-31,5.0,2, , , 
9848,tt1949605,Who Gets the Dog?,Who Gets the Dog?,2016,95.0,Comedy,4.9,1066.0,"[35, 10749]",415766,en,Who Gets the Dog?,3.5469999999999997,2016-09-13,5.2,42, , , 
9849,tt1950135,Drunk Wedding,Drunk Wedding,2015,81.0,Comedy,4.6,729.0,[35],340190,en,Drunk Wedding,1.4,2015-05-22,3.9,15,"$600,000","$3,301","$3,301"
9850,tt1950192,Happy Slapping,Happy Slapping,2013,75.0,Drama,6.4,83.0,[18],296752,en,Happy Slapping,0.6,2013-08-01,1.0,1, , , 
9851,tt1950237,Let's Dance,Let's Dance,2011,72.0,Documentary,8.3,9.0,[10402],567104,xx,Let's Dance,1.5930000000000002,2018-12-06,6.5,2, , , 
9855,tt1950401,The Love Letter,The Love Letter,2011,12.0,"Adventure,Documentary",6.0,473.0,[],249055,en,The Love Letter,0.6,2013-08-10,5.0,2,"$15,000,000","$8,322,608","$9,010,980"
9857,tt1951095,Child of God,Child of God,2013,104.0,"Crime,Drama,Thriller",5.5,3673.0,"[80, 18, 53]",152736,en,Child of God,3.7960000000000003,2014-08-01,5.3,46, , , 
9858,tt1951133,Funeral Kings,Funeral Kings,2012,85.0,"Comedy,Drama",6.3,1101.0,[35],96087,en,Funeral Kings,1.247,2012-11-16,5.9,16, , , 
9859,tt1951176,Live at the Foxes Den,Live at the Foxes Den,2013,103.0,Drama,5.2,112.0,[18],240737,en,Live at the Foxes Den,0.6,2013-12-06,3.8,3, , , 
9860,tt1951181,The Immigrant,The Immigrant,2013,120.0,"Drama,Romance",6.6,26618.0,"[18, 10749]",152599,en,The Immigrant,8.145,2013-10-06,6.2,438,"$16,000,000","$2,013,456","$7,585,011"
9863,tt1951216,The Look of Love,The Look of Love,2013,101.0,"Biography,Comedy,Drama",6.0,6263.0,"[35, 18]",158914,en,The Look of Love,5.69,2013-07-07,5.5,57, , , 
9865,tt1951218,Piggy,Piggy,2012,106.0,Thriller,5.5,1385.0,[53],96631,en,Piggy,3.5989999999999998,2014-05-13,6.0,18, , , 
9866,tt1951238,Scarlet Road,Scarlet Road,2011,106.0,Documentary,7.1,111.0,[99],79998,en,Scarlet Road,0.625,2012-03-12,5.0,1, , , 
9867,tt1951261,The Hangover Part III,The Hangover Part III,2013,100.0,"Adventure,Comedy,Crime",5.8,270695.0,[35],109439,en,The Hangover Part III,18.519000000000002,2013-05-23,6.1,5130, , , 
9868,tt1951264,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,2013,146.0,"Action,Adventure,Sci-Fi",7.5,575455.0,"[12, 28, 878]",101299,en,The Hunger Games: Catching Fire,20.187,2013-11-22,7.4,11170,"$130,000,000","$424,668,047","$864,868,047"
9869,tt1951265,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,2014,123.0,"Action,Adventure,Sci-Fi",6.6,379050.0,"[878, 12, 53]",131631,en,The Hunger Games: Mockingjay - Part 1,33.836999999999996,2014-11-21,6.8,10087,"$125,000,000","$337,135,885","$766,575,131"
9870,tt1951266,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015,137.0,"Action,Adventure,Sci-Fi",6.6,252384.0,"[28, 12, 878]",131634,en,The Hunger Games: Mockingjay - Part 2,19.487000000000002,2015-11-18,6.8,7609,"$160,000,000","$281,723,902","$648,986,787"
9872,tt1954204,A Beautiful Soul,A Beautiful Soul,2012,87.0,Drama,6.4,91.0,[],257173,en,A Beautiful Soul,0.6,2012-05-04,7.0,1, , , 
9873,tt1954214,A Second Knock at the Door,A Second Knock at the Door,2012,92.0,"Documentary,History,News",6.8,31.0,"[99, 10752, 36]",104752,en,A Second Knock at the Door,0.625,2012-03-13,5.0,1, , , 
9874,tt1954315,Borgman,Borgman,2013,113.0,"Drama,Horror,Mystery",6.8,14518.0,"[53, 18]",186929,nl,Borgman,6.535,2014-05-09,6.8,151, , , 
9875,tt1954334,Christmas with the Dead,Christmas with the Dead,2012,88.0,Horror,5.9,64.0,[27],245107,en,Christmas with the Dead,0.875,2012-04-27,6.0,1, , , 
9876,tt1954352,Crooked Arrows,Crooked Arrows,2012,105.0,"Drama,Sport",6.0,1744.0,[18],106135,en,Crooked Arrows,2.4130000000000003,2012-05-18,6.7,22, , , 
